id,title,subtitle,authors,publisher,published_date,category
9353287103,Business Analytics,Text and Cases,"Tanushri Banerjee, Arindam Banerjee",SAGE Publications Pvt. Limited,12/15/2019,Business Analytics
9.78112E+12,The Value of Business Analytics,Identifying the Path to Profitability,Evan Stubbs,John Wiley & Sons,7/26/2011,Business Analytics
9.78036E+12,Business Analytics,,"Jeffrey D. Camm, James J. Cochran, Michael J. Fry, Jeffrey W. Ohlmann",Cengage AU,3/10/2020,Business Analytics
9.7818E+12,Applications of Big Data and Business Analytics in Management,,"Sneha Kumari, K. K. Tripathy, Vidya Kumbhar",Emerald Group Publishing,12/4/2020,Business Analytics
9.78112E+12,Business Analysis For Dummies,,"Kupe Kupersmith, Paul Mulvey, Kate McGoey",John Wiley & Sons,7/22/2013,Business Analytics
9.78112E+12,"Healthcare Business Intelligence, + Website",A Guide to Empowering Successful Data Reporting and Analytics,Laura Madsen,John Wiley & Sons,9/4/2012,Business Analytics
9.78032E+12,Introduction to Business Analytics Using Simulation,,Jonathan P. Pinder,Academic Press,2/6/2022,Business Analytics
9.78332E+12,Recent Developments in Data Science and Business Analytics,Proceedings of the International Conference on Data Science and Business Analytics (ICDSBA- 2017),"Madjid Tavana, Srikanta Patnaik",Springer,3/27/2018,Business Analytics
9.78195E+12,"Introduction to Business Analytics, Second Edition",,"Marguerite L. Johnson, David L. Olson, Wesley S. Boyce",Business Expert Press,12/14/2020,Business Analytics
9.78132E+12,A User's Guide to Business Analytics,,"Ayanendranath Basu, Srabashi Basu",CRC Press,8/19/2016,Business Analytics
9.78147E+12,Big Data and Business Analytics,,Jay Liebowitz,CRC Press,4/19/2016,Business Analytics
9.78112E+12,Delivering Business Analytics,Practical Guidelines for Best Practice,Evan Stubbs,John Wiley & Sons,1/30/2013,Business Analytics
9.78013E+12,"Business Analytics Principles, Concepts, and Applications with SAS","What, Why, and How","Marc J. Schniederjans, Dara G. Schniederjans, Christopher M. Starkey",Pearson Education,9/12/2014,Business Analytics
1292009209,Business Intelligence and Analytics,"Systems for Decision Support, Global Edition","Ramesh Sharda, Efraim Turban, Dursun Delen",Pearson,2/28/2014,Business Analytics
148421384X,SAP Business Analytics,,Sudipa Dutta Roy,Apress,2/1/2017,Business Analytics
9.7986E+12,Business Analytics for Beginners and Dummies,A Managerial Perspective on Business Intelligence and Data Science,Lisa H Gregory Ph D,Independently Published,1/18/2021,Business Analytics
9.78129E+12,Key Business Analytics,The 60+ Business Analysis Tools Every Manager Needs To Know,Bernard Marr,Pearson UK,2/10/2016,Business Analytics
9.7815E+12,Managerial Decision Modeling,"Business Analytics with Spreadsheets, Fourth Edition","Nagraj (Raju) Balakrishnan, Barry Render, Ralph Stair, Charles Munson",Walter de Gruyter GmbH & Co KG,8/7/2017,Business Analytics
9.78112E+12,"Big Data, Big Analytics",Emerging Business Intelligence and Analytic Trends for Today's Businesses,"Michael Minelli, Michele Chambers, Ambiga Dhiraj",John Wiley & Sons,1/22/2013,Business Analytics
9.78812E+12,BUSINESS ANALYTICS,An application focus,PURBA HALADY RAO,PHI Learning Pvt. Ltd.,7/29/2013,Business Analytics
9.78013E+12,Business Intelligence Strategy and Big Data Analytics,A General Management Perspective,Steve Williams,Morgan Kaufmann,4/8/2016,Business Analytics
9.78152E+12,Business Analytics and Cyber Security Management in Organizations,,"Rajagopal, Behl, Ramesh",IGI Global,11/17/2016,Business Analytics
9.78981E+12,Strategic System Assurance and Business Analytics,,"P. K. Kapur, Ompal Singh, Sunil Kumar Khatri, Ajit Kumar Verma",Springer Nature,6/19/2020,Business Analytics
9.78132E+12,Business Analytics for Decision Making,,"Steven Orla Kimbrough, Hoong Chuin Lau",CRC Press,9/3/2018,Business Analytics
9.78147E+12,Encyclopedia of Business Analytics and Optimization,,"Wang, John",IGI Global,2/28/2014,Business Analytics
9811346143,Understanding the Role of Business Analytics,Some Applications,"Hardeep Chahal, Jeevan Jyoti, Jochen Wirtz",Springer,10/20/2019,Business Analytics
9.78148E+12,SAP Business Analytics,A Best Practices Guide for Implementing Business Analytics Using SAP,Sudipa DuttaRoy,Apress,11/12/2016,Business Analytics
9.78112E+12,Predictive Business Analytics,Forward Looking Capabilities to Improve Business Performance,"Lawrence Maisel, Gary Cokins",John Wiley & Sons,10/7/2013,Business Analytics
9811385777,"Computational Intelligence, Communications, and Business Analytics","Second International Conference, CICBA 2018, Kalyani, India, July 27–28, 2018, Revised Selected Papers","Jyotsna Kumar Mandal, Somnath Mukhopadhyay, Paramartha Dutta, Kousik Dasgupta",Springer,6/25/2019,Business Analytics
9.78148E+12,Business Analytics Using R - A Practical Approach,,"Umesh R Hodeghatta, Umesha Nayak",Apress,12/27/2016,Business Analytics
1138416517,Customer and Business Analytics,Applied Data Mining for Business Decision Making Using R,Daniel S. Putler,CRC Press,7/3/2017,Business Analytics
9.78148E+12,Big Data and Business Analytics,,Jay Liebowitz,CRC Press,6/13/2013,Business Analytics
9.78013E+12,The Complete Guide to Business Analytics (Collection),,"Thomas H. Davenport, Babette E. Bensoussan, Craig S. Fleisher",FT Press,10/14/2012,Business Analytics
9.78144E+12,Getting Started with Business Analytics,Insightful Decision-Making,"David Roi Hardoon, Galit Shmueli",CRC Press,3/26/2013,Business Analytics
9.7815E+12,Customer and Business Analytics,Applied Data Mining for Business Decision Making Using R,"Daniel S. Putler, Robert E. Krider",CRC Press,9/15/2015,Business Analytics
9.7882E+12,Business Analytics and Intelligence in Digital Era,,"Dr K. Kumuthadevi   , Dr G Vengatesan, Dr Niraj Kumar",Alborear (OPC) Pvt. Ltd.,12/30/2022,Business Analytics
1606491865,Business Intelligence,Making Decisions Through Data Analytics,Jerzy Surma,Business Expert Press,3/6/2011,Business Analytics
1493942395,R for Business Analytics,,Ajay Ohri,Springer,5/1/2016,Business Analytics
9.78303E+12,Business and Consumer Analytics: New Ideas,,"Pablo Moscato, Natalie Jane de Vries",Springer,5/30/2019,Business Analytics
9.78303E+12,Computational Intelligence for Business Analytics,,"Witold Pedrycz, Luis Martínez, Rafael Alejandro Espin-Andrade, Gilberto Rivera, Jorge Marx Gómez",Springer Nature,10/26/2021,Business Analytics
9.78149E+12,Applied Sport Business Analytics,,"Christopher Atwater, Robert E. Baker, Ted Kwartler",Human Kinetics,3/17/2022,Business Analytics
9.78012E+12,Business Intelligence,The Savvy Manager's Guide,David Loshin,Newnes,10/17/2012,Business Analytics
9.78112E+12,Business Analytics for Sales and Marketing Managers,How to Compete in the Information Age,Gert H. N. Laursen,John Wiley & Sons,3/16/2011,Business Analytics
9811385807,"Computational Intelligence, Communications, and Business Analytics","Second International Conference, CICBA 2018, Kalyani, India, July 27–28, 2018, Revised Selected Papers","Jyotsna Kumar Mandal, Somnath Mukhopadhyay, Paramartha Dutta, Kousik Dasgupta",Springer,6/26/2019,Business Analytics
128091983,Business Intelligence Strategy and Big Data Analytics,A General Management Perspective,Steve Williams,Morgan Kaufmann,5/15/2016,Business Analytics
1780174284,Business Analyst,Careers in Business Analysis,Adrian Reed,"BCS, The Chartered Institute for IT",7/18/2018,Business Analytics
9.78145E+12,Data Science for Business,What You Need to Know about Data Mining and Data-Analytic Thinking,"Foster Provost, Tom Fawcett","""O'Reilly Media, Inc.""",7/27/2013,Business Analytics
9.78981E+12,Understanding the Role of Business Analytics,Some Applications,"Hardeep Chahal, Jeevan Jyoti, Jochen Wirtz",Springer,9/14/2018,Business Analytics
9.7818E+12,Handbook of Research on Foundations and Applications of Intelligent Business Analytics,,"Sun, Zhaohao, Wu, Zhiyou",IGI Global,3/11/2022,Business Analytics
80467768,The Profit Impact of Business Intelligence,,"Steve Williams, Nancy Williams",Elsevier,7/27/2010,Business Analytics
9.78112E+12,Business Analysis,Best Practices for Success,Steven P. Blais,John Wiley & Sons,11/8/2011,Business Analytics
9.781E+12,Statistical Modelling and Sports Business Analytics,,"Vanessa Ratten, Ted Hayduk",Routledge,5/11/2020,Business Analytics
9.78303E+12,Computational Intelligence in Communications and Business Analytics,"Third International Conference, CICBA 2021, Santiniketan, India, January 7–8, 2021, Revised Selected Papers","Paramartha Dutta, Jyotsna K. Mandal, Somnath Mukhopadhyay",Springer Nature,5/25/2021,Business Analytics
9.78114E+12,Business Analytics,A Contemporary Approach,"Thomas W. Jackson, Steven Lockwood",Bloomsbury Publishing,9/21/2018,Business Analytics
9.78114E+12,Stats Means Business,"Statistics and Business Analytics for Business, Hospitality and Tourism","John Buglear, Adrian Castell",Taylor & Francis,4/27/2012,Business Analytics
9.78364E+12,Video Analytics for Business Intelligence,,"Caifeng Shan, Fatih Porikli, Tao Xiang, Shaogang Gong",Springer Science & Business Media,4/7/2012,Business Analytics
9.78112E+12,"Big Data, Big Innovation",Enabling Competitive Differentiation through Business Analytics,Evan Stubbs,John Wiley & Sons,7/21/2014,Business Analytics
9.78012E+12,Business Intelligence Guidebook,From Data Integration to Analytics,Rick Sherman,Newnes,11/4/2014,Business Analytics
1484213122,Disruptive Analytics,Charting Your Strategy for Next-Generation Business Analytics,Thomas W. Dinsmore,Apress,8/28/2016,Business Analytics
9.78112E+12,Profit Driven Business Analytics,A Practitioner's Guide to Transforming Big Data into Added Value,"Wouter Verbeke, Bart Baesens, Cristian Bravo",John Wiley & Sons,9/22/2017,Business Analytics
9.7818E+12,"Integration Challenges for Analytics, Business Intelligence, and Data Mining",,"Azevedo, Ana, Santos, Manuel Filipe",IGI Global,12/11/2020,Business Analytics
1285418689,Spreadsheet Modeling and Decision Analysis: A Practical Introduction to Business Analytics,,Cliff Ragsdale,Cengage Learning,2/28/2014,Business Analytics
9.78332E+12,Aligning Business Strategies and Analytics,Bridging Between Theory and Practice,"Murugan Anandarajan, Teresa D. Harrison",Springer,9/27/2018,Business Analytics
9.78135E+12,Mathematical Modeling for Business Analytics,,William P. Fox,CRC Press,12/15/2017,Business Analytics
9.78013E+12,The Applied Business Analytics Casebook,"Applications in Supply Chain Management, Operations Management, and Operations Research",Matthew J. Drake,FT Press,10/9/2013,Business Analytics
9.78332E+12,Enterprise Resource Planning and Business Intelligence Systems for Information Quality,An Empirical Analysis in the Italian Setting,"Carlo Caserio, Sara Trucco",Springer,4/13/2018,Business Analytics
9.781E+12,Machine Learning for Business Analytics,Real-Time Data Analysis for Decision-Making,"Hemachandran K, Sayantan Khanra, Raul V. Rodriguez, Juan Jaramillo",CRC Press,7/21/2022,Business Analytics
470768487,Dealing with Dilemmas,Where Business Analytics Fall Short,Frank Buytendijk,John Wiley & Sons,7/23/2010,Business Analytics
9.78152E+12,Applying Business Intelligence Initiatives in Healthcare and Organizational Settings,,"Miah, Shah J., Yeoh, William",IGI Global,7/13/2018,Business Analytics
130594741X,Spreadsheet Modeling & Decision Analysis: A Practical Introduction to Business Analytics,,Cliff Ragsdale,Cengage Learning,12/5/2016,Business Analytics
9.78137E+12,Business Analytics: Step-by-Step Tutorial,,Narcyz Roztocki,Lulu.com,11/5/2016,Business Analytics
012411461X,Business Intelligence Guidebook,From Data Integration to Analytics,Rick Sherman,Morgan Kaufmann,11/7/2014,Business Analytics
9.78081E+12,Behind Every Good Decision,How Anyone Can Use Business Analytics to Turn Data into Profitable Insight,"Piyanka Jain, Puneet Sharma",AMACOM,11/5/2014,Business Analytics
9.78013E+12,"Business Analytics Principles, Concepts, and Applications with SAS","What, Why, and How","Marc J. Schniederjans, Dara G. Schniederjans, Christopher M. Starkey",Pearson Education,10/7/2014,Business Analytics
9.78111E+12,"Data Analysis for Business, Economics, and Policy",,"Gábor Békés, Gábor Kézdi",Cambridge University Press,5/6/2021,Business Analytics
9.78007E+12,"Successful Business Intelligence, Second Edition",Unlock the Value of BI & Big Data,Cindi Howson,McGraw Hill Professional,11/5/2013,Business Analytics
367426927,Statistical Modelling and Sports Business Analytics,,"Vanessa Ratten, Ted Hayduk",Routledge,5/29/2020,Business Analytics
9.78075E+12,Practical Text Analytics,Interpreting Text and Unstructured Data for Business Intelligence,Steven Struhl,Kogan Page Publishers,7/3/2015,Business Analytics
9813149299,Business Analytics,Progress on Applications in Asia Pacific,Jorge L. C. Sanz,World Scientific Publishing Company,9/29/2016,Business Analytics
9.78303E+12,"Digital Economy, Business Analytics, and Big Data Analytics Applications",,Saad G. Yaseen,Springer Nature,10/28/2022,Business Analytics
3658375981,Artificial Intelligence for Business Analytics,"Algorithms, Platforms and Application Scenarios",Felix Weber,Springer Vieweg,1/26/2023,Business Analytics
9.78013E+12,The Best Thinking in Business Analytics from the Decision Sciences Institute,,"Decision Sciences Institute, Merrill Warkentin",FT Press,8/18/2015,Business Analytics
9.78332E+12,Metaheuristics for Business Analytics,A Decision Modeling Approach,"Abraham Duarte, Manuel Laguna, Rafael Marti",Springer,11/24/2017,Business Analytics
1641720883,Business Analytics,"Principles, Concepts and Applications",Drew Bentley,Larsen and Keller Education,6/26/2019,Business Analytics
146659165X,A Users Guide to Business Analytics,,"Ayanendranath Basu, Srabashi Basu",Chapman and Hall/CRC,3/15/2016,Business Analytics
9.78047E+12,Business Intelligence For Dummies,,Swain Scheps,John Wiley & Sons,1/10/2008,Business Analytics
9.78047E+12,Knight's Microsoft Business Intelligence 24-Hour Trainer,,"Brian Knight, Devin Knight, Adam Jorgensen, Patrick LeBlanc, Mike Davis",John Wiley & Sons,9/27/2010,Business Analytics
9.78152E+12,Machine Learning Techniques for Improved Business Analytics,,"G., Dileep Kumar",IGI Global,7/6/2018,Business Analytics
9.78112E+12,Machine Learning for Business Analytics,"Concepts, Techniques, and Applications in R","Galit Shmueli, Peter C. Bruce, Peter Gedeck, Inbal Yahav Shenberger, Nitin R. Patel",John Wiley & Sons,3/28/2023,Business Analytics
9.78013E+12,Prescriptive Analytics,The Final Frontier for Evidence-Based Management and Optimal Decision Making,Dursun Delen,FT Press,6/28/2019,Business Analytics
1484287533,Practical Business Analytics Using R and Python,Solve Business Problems Using a Data-driven Approach,"Umesh R. Hodeghatta, Umesha Nayak",Apress,1/27/2023,Business Analytics
9.78047E+12,Business Intelligence,"Practices, Technologies, and Management","Rajiv Sabherwal, Irma Becerra-Fernandez",John Wiley & Sons,2/19/2013,Business Analytics
9.78184E+12,Handbook of Big Data Analytics,"Applications in ICT, Security and Business Analytics, Volume 2","Vadlamani Ravi, Aswani Kumar Cherukuri",IET,7/9/2021,Business Analytics
1974011364,Business Analytics Complete Self-assessment Guide,,Gerardus Blokdyk,Createspace Independent Publishing Platform,7/28/2017,Business Analytics
1774634198,Computing Predictive Analytics Business Intelligence and Economics,,Cyrus F. Nourani,Apple Academic Press,3/31/2021,Business Analytics
9.78074E+12,Complete Analytics with IBM DB2 Query Management Facility: Accelerating Well-Informed Decisions Across the Enterprise,,"Kristi Ramey, Mike Biere, Peter Richardson, Shawn Sullivan, Jeremy Weatherall, IBM Redbooks",IBM Redbooks,8/20/2012,Business Analytics
9.78163E+12,A Guide to the Project Management Body of Knowledge (PMBOK® Guide) – Seventh Edition and The Standard for Project Management (BRAZILIAN PORTUGUESE),,Project Management Institute Project Management Institute,Project Management Institute,8/1/2021,Business Analytics
9.78939E+12,Data Science Fundamentals and Practical Approaches,,"Nandi Dr. Rupam Dr. Gypsy, Kumar Sharma",BPB Publications,9/3/2020,Business Analytics
9.78303E+12,Computational Intelligence in Communications and Business Analytics,"4th International Conference, CICBA 2022, Silchar, India, January 7–8, 2022, Revised Selected Papers","Somnath Mukhopadhyay, Sunita Sarkar, Paramartha Dutta, Jyotsna Kumar Mandal, Sudipta Roy",Springer Nature,7/21/2022,Business Analytics
134072952,The Best Thinking in Business Analytics from the Decision Sciences Institute,,"Decision Sciences Institute, Merrill Warkentin",Ft Press,9/1/2015,Business Analytics
9.78075E+12,Data Strategy,"How to Profit from a World of Big Data, Analytics and the Internet of Things",Bernard Marr,Kogan Page Publishers,4/3/2017,Business Analytics
9.78142E+12,Competing on Analytics,The New Science of Winning,"Thomas H. Davenport, Jeanne G. Harris",Harvard Business Press,3/6/2007,Business Analytics
3030755282,Computational Intelligence in Communications and Business Analytics,"Third International Conference, CICBA 2021, Santiniketan, India, January 7–8, 2021, Revised Selected Papers","Paramartha Dutta, Jyotsna K. Mandal, Somnath Mukhopadhyay",Springer,5/26/2021,Business Analytics
9.78152E+12,"Operations and Service Management: Concepts, Methodologies, Tools, and Applications","Concepts, Methodologies, Tools, and Applications","Management Association, Information Resources",IGI Global,11/30/2017,Business Analytics
3540228063,Enterprise Management with SAP SEM™/ Business Analytics,,"Marco Meier, Werner Sinzig, Peter Mertens",Springer Science & Business Media,2/14/2005,Business Analytics
9.78047E+12,Oracle Data Warehousing and Business Intelligence Solutions,,"Robert Stackowiak, Joseph Rayman, Rick Greenwald",John Wiley & Sons,1/6/2007,Business Analytics
9.78303E+12,The Effect of Coronavirus Disease (COVID-19) on Business Intelligence,,"M.T. Alshurideh, Aboul Ella Hassanien, Ra’ed Masa’deh",Springer Nature,4/2/2021,Business Analytics
9.781E+12,Artificial Intelligence and Computing Logic,Cognitive Technology for AI Business Analytics,Cyrus F. Nourani,CRC Press,12/23/2021,Business Analytics
9.78047E+12,Data Mining for Business Intelligence,"Concepts, Techniques, and Applications in Microsoft Office Excel with XLMiner","Galit Shmueli, Nitin R. Patel, Peter C. Bruce",John Wiley & Sons,12/11/2006,Business Analytics
9.78129E+12,"Business Analytics, eBook, Global Edition",,James R. Evans,Pearson Higher Ed,1/12/2016,Business Analytics
9.78332E+12,Strategic Engineering for Cloud Computing and Big Data Analytics,,"Amin Hosseinian-Far, Muthu Ramachandran, Dilshad Sarwar",Springer,2/13/2017,Business Analytics
1482221764,Introduction to Business Analytics,,"Steven Orla Kimbrough, Lau Hoong Chuin",Chapman and Hall/CRC,1/15/2016,Business Analytics
1800438850,Applications of Big Data and Business Analytics in Management,,"Sneha Kumari, K. K. Tripathy, Vidya Kumbhar",Emerald Publishing Limited,12/4/2020,Business Analytics
9.78135E+12,Mathematical Modeling for Business Analytics,,William P. Fox,CRC Press,12/15/2017,Business Analytics
1583473432,5 Keys to Business Analytics Program Success,,"John Boyer, Bill Frank, Brian Green, Tracy Harris, Kay Van De Vanter",Mc PressLlc,11/15/2012,Business Analytics
9.78163E+12,The Analytical Puzzle,"Data Warehousing, Business Intelligence and Analytics",David Haertzen,Technics Publications,7/1/2012,Business Analytics
9.78981E+12,"Computational Intelligence, Communications, and Business Analytics","First International Conference, CICBA 2017, Kolkata, India, March 24 – 25, 2017, Revised Selected Papers, Part II","J. K. Mandal, Paramartha Dutta, Somnath Mukhopadhyay",Springer,10/1/2017,Business Analytics
9813366583,Applied Advanced Analytics,"6th IIMA International Conference on Advanced Data Analysis, Business Analytics and Intelligence",Arnab Kumar Laha,Springer,6/10/2022,Business Analytics
999064908,Principles of Business Forecasting--2nd Ed,,"Keith Ord, Professor of Decision Sciences Keith Ord, Robert Fildes, Nikos Kourentzes","Wessex, Incorporated",8/15/2017,Business Analytics
1118102010,SharePoint 2010 Business Intelligence 24-Hour Trainer,,"Adam Jorgensen, Mark Stacey, Devin Knight, Patrick LeBlanc, Brad Schacht",John Wiley & Sons,12/5/2011,Business Analytics
9.78163E+12,Perspectives on Business Intelligence,,"Raymond T. Ng, Patricia C. Arocena, Denilson Barbosa, Giuseppe Carenini",Morgan & Claypool Publishers,4/1/2013,Business Analytics
1529796113,Business Analytics,"Combining Data, Analysis and Judgement to Inform Decisions",Mary Ellen Gordon,Sage Publications Limited,7/8/2023,Business Analytics
9.78112E+12,The Kimball Group Reader,Relentlessly Practical Tools for Data Warehousing and Business Intelligence Remastered Collection,"Ralph Kimball, Margy Ross",John Wiley & Sons,12/30/2015,Business Analytics
9.78149E+12,Practical Tableau,"100 Tips, Tutorials, and Strategies from a Tableau Zen Master",Ryan Sleeper,"""O'Reilly Media, Inc.""",4/3/2018,Business Analytics
1292039736,Business Analytics,Pearson New International Edition,James R. Evans,Pearson,8/1/2013,Business Analytics
9.78129E+12,Business Analytics: Pearson New International Edition,,James R. Evans,Pearson Higher Ed,10/3/2013,Business Analytics
9.78144E+12,Business Analysis for Business Intelligence,,Bert Brijs,CRC Press,4/19/2016,Business Analytics
1508607494,Misqe Special Theme Book,Business Analytics,Mis Executive,CreateSpace,4/30/2015,Business Analytics
9.78112E+12,Big Data MBA,Driving Business Strategies with Data Science,Bill Schmarzo,John Wiley & Sons,12/11/2015,Business Analytics
1987775260,"Purpose, Career and Business Analytics","A Workbook for Discovering Your Purpose, Choose the Right Career and the Best Businesses You Are Designed to Do",Moses Omojola,Createspace Independent Publishing Platform,4/12/2018,Business Analytics
9.78112E+12,Business Analytics,The Art of Modeling with Spreadsheets,"Stephen G. Powell, Kenneth R. Baker",Wiley Global Education,5/7/2020,Business Analytics
9.78112E+12,"Wiley CIA 2022 Exam Review, Part 3",Business Knowledge for Internal Auditing,S. Rao Vallabhaneni,John Wiley & Sons,10/19/2021,Business Analytics
9.78162E+12,"Contemporary Perspectives in Data Mining, Volume 1",,"Kenneth D. Lawrence, Ronald Klimberg",IAP,4/1/2013,Business Analytics
1639870881,"Business Intelligence and Analytics: Concepts, Techniques and Applications",,Samuel Brooks,Murphy & Moore Publishing,11/16/2021,Business Analytics
71596143,Successful Business Intelligence: Secrets to Making BI a Killer App,,Cindi Howson,McGraw Hill Professional,12/17/2007,Business Analytics
9.78112E+12,Business Model Generation,"A Handbook for Visionaries, Game Changers, and Challengers","Alexander Osterwalder, Yves Pigneur",John Wiley & Sons,2/1/2013,Business Analytics
9.78194E+12,"Budgeting, Forecasting, and Planning In Uncertain Times",,"Michael Coveney, Gary Cokins",John Wiley & Sons,4/24/2017,Business Analytics
9.78007E+12,Data Visualization for Oracle Business Intelligence 11g,,"Dan Vlamis, Tim Vlamis",McGraw Hill Professional,2/13/2015,Business Analytics
9.78112E+12,The Analytic Hospitality Executive,Implementing Data Analytics in Hotels and Casinos,Kelly A. McGuire,John Wiley & Sons,9/6/2016,Business Analytics
